xtf_id,DamName,DamHeight,CrestLevel,CrestLength,DamType,ConstructionYear,facilityR2,x,y
131994474,Aarberg,15.000,452.500,70.000,dt1,1963,131994470,2587362.131,1209652.325
130676841,Airolo,17.000,1137.160,83.000,dt5,1968,130675951,2689680.296,1153439.621
131895810,Albbruck-Dogern,15.000,312.240,145.000,dt1,1933,131895806,2652200.949,1270800.274
130676842,Albigna,115.000,2165.000,759.000,dt5,1959,130675954,2769991.056,1134169.38
130676917,Alp Dado,24.000,2060.000,210.000,dt7,1995,130676152,2735450.693,1188024.664
131269304,Ancien Jougnenaz,16.000,778.000,26.600,dt5,1937,130676170,2520179.648,1175400.695
130676844,Arnensee (Arnon),17.000,1545.000,140.000,dt7,1942,130675960,2583199.527,1138220.304
130676848,Arniboden Nord,2.000,1370.870,60.000,dt7,1910,130675963,2691980.513,1180949.575
130676845,Arniboden Ost,12.000,1370.770,67.000,dt7,1910,130675963,2692150.51,1180839.574
130676846,Arniboden Süd,15.000,1370.770,74.000,dt7,1910,130675963,2691960.506,1180619.577
130676847,Arniboden West,4.000,1370.710,80.000,dt7,1910,130675963,2691890.509,1180759.577
130792097,Augst-Wyhlen,22.000,272.140,212.800,dt1,1912,130676563,2620251.63,1265223.499
130676849,Bannalp,32.000,1589.100,185.000,dt7,1937,130675966,2675250.691,1191399.744
132024967,Bannwil,15.000,419.300,80.000,dt1,1970,132024960,2622244.457,1230969.235
130676850,Barcuns,36.800,1368.000,153.000,dt5,1947,130675969,2711470.46,1177439.652
130676851,Bärenburg,64.000,1083.700,110.000,dt5,1960,130675972,2751940.76,1161789.498
130676853,Bettmersee,9.150,2010.800,135.000,dt7,1949,130675978,2647939.814,1138129.661
132025243,Beznau,10.000,326.500,116.500,dt1,1986,132025238,2660103.009,1267770.135
131895822,Birsfelden,15.000,255.000,157.000,dt1,1954,131895819,2614100.575,1267800.607
130676854,Bortelsee,20.000,2465.500,310.000,dt3,1989,130675981,2651349.751,1126549.567
