abbr,time,rre150m0
BAS,186001,
BAS,186002,
BAS,186003,
BAS,186004,
BAS,186005,
BAS,186006,
BAS,186007,
BAS,186008,
BAS,186009,
BAS,186010,
BAS,186011,
BAS,186012,
BAS,186101,
BAS,186102,
BAS,186103,
BAS,186104,
BAS,186105,
BAS,186106,
BAS,186107,
BAS,186108,
BAS,186109,
BAS,186110,
BAS,186111,
BAS,186112,
BAS,186201,
BAS,186202,
BAS,186203,
BAS,186204,
BAS,186205,
BAS,186206,
BAS,186207,
BAS,186208,
BAS,186209,
BAS,186210,
BAS,186211,
BAS,186212,
BAS,186301,
BAS,186302,
BAS,186303,
BAS,186304,
BAS,186305,
BAS,186306,
BAS,186307,
BAS,186308,
BAS,186309,
BAS,186310,
BAS,186311,
BAS,186312,
BAS,186401,24.6
BAS,186402,22.5
BAS,186403,77.9
BAS,186404,55.5
BAS,186405,71.7
BAS,186406,178.9
BAS,186407,71.7
BAS,186408,64.5
BAS,186409,72.8
BAS,186410,11.9
BAS,186411,87.1
BAS,186412,4.7
BAS,186501,59.5
BAS,186502,97.3
BAS,186503,48.4
BAS,186504,13.2
BAS,186505,115.0
BAS,186506,85.8
BAS,186507,52.9
BAS,186508,132.7
BAS,186509,0.0
BAS,186510,116.4
BAS,186511,82.4
BAS,186512,11.1
BAS,186601,44.1
BAS,186602,99.5
BAS,186603,140.3
BAS,186604,102.9
BAS,186605,105.8
BAS,186606,57.3
BAS,186607,62.0
BAS,186608,157.4
BAS,186609,68.3
BAS,186610,33.1
BAS,186611,70.3
BAS,186612,138.4
BAS,186701,168.5
BAS,186702,94.2
BAS,186703,113.8
BAS,186704,104.8
BAS,186705,99.6
BAS,186706,179.8
BAS,186707,96.6
BAS,186708,53.0
BAS,186709,50.1
BAS,186710,120.1
BAS,186711,31.7
BAS,186712,41.9
BAS,186801,46.3
BAS,186802,14.9
BAS,186803,73.9
BAS,186804,73.9
BAS,186805,17.1
BAS,186806,89.7
BAS,186807,85.2
BAS,186808,84.5
BAS,186809,102.8
BAS,186810,113.0
BAS,186811,42.7
BAS,186812,146.2
BAS,186901,31.3
BAS,186902,25.5
BAS,186903,89.1
BAS,186904,36.8
BAS,186905,179.1
BAS,186906,73.2
BAS,186907,61.1
BAS,186908,110.2
BAS,186909,77.7
BAS,186910,58.1
BAS,186911,77.3
BAS,186912,81.6
BAS,187001,24.4
BAS,187002,28.1
BAS,187003,90.2
BAS,187004,19.4
BAS,187005,52.1
BAS,187006,32.7
BAS,187007,80.8
BAS,187008,110.2
BAS,187009,44.7
BAS,187010,101.2
BAS,187011,123.9
BAS,187012,91.2
BAS,187101,37.4
BAS,187102,38.5
BAS,187103,27.5
BAS,187104,107.4
BAS,187105,41.3
BAS,187106,120.1
BAS,187107,142.6
BAS,187108,43.2
BAS,187109,24.3
BAS,187110,87.2
BAS,187111,37.0
BAS,187112,6.3
BAS,187201,55.1
BAS,187202,39.6
BAS,187203,59.8
BAS,187204,99.5
BAS,187205,307.5
BAS,187206,193.0
BAS,187207,104.3
BAS,187208,81.1
BAS,187209,17.2
BAS,187210,135.7
BAS,187211,110.5
BAS,187212,53.8
BAS,187301,25.0
BAS,187302,20.1
BAS,187303,47.3
BAS,187304,105.5
BAS,187305,99.6
BAS,187306,96.6
BAS,187307,135.5
BAS,187308,51.0
BAS,187309,91.0
BAS,187310,83.3
BAS,187311,79.2
BAS,187312,12.7
BAS,187401,16.3
BAS,187402,10.9
BAS,187403,41.4
BAS,187404,73.8
BAS,187405,99.9
BAS,187406,151.8
BAS,187407,104.8
BAS,187408,65.9
BAS,187409,22.3
BAS,187410,40.9
BAS,187411,48.6
BAS,187412,77.7
BAS,187501,33.8
BAS,187502,14.5
BAS,187503,25.9
BAS,187504,23.6
BAS,187505,62.8
BAS,187506,78.4
BAS,187507,117.9
BAS,187508,42.4
BAS,187509,46.8
BAS,187510,91.6
BAS,187511,78.1
BAS,187512,9.4
BAS,187601,14.7
BAS,187602,62.3
BAS,187603,91.1
BAS,187604,83.8
BAS,187605,44.4
BAS,187606,153.1
BAS,187607,32.4
BAS,187608,100.0
BAS,187609,107.8
BAS,187610,7.5
BAS,187611,72.2
BAS,187612,36.3
BAS,187701,27.9
BAS,187702,58.9
BAS,187703,62.2
BAS,187704,50.2
BAS,187705,128.3
BAS,187706,38.1
BAS,187707,92.1
BAS,187708,62.6
BAS,187709,50.6
BAS,187710,24.7
BAS,187711,75.5
BAS,187712,62.4
BAS,187801,34.7
BAS,187802,16.8
BAS,187803,28.3
BAS,187804,106.1
BAS,187805,93.6
BAS,187806,171.2
BAS,187807,47.3
BAS,187808,114.9
BAS,187809,50.1
BAS,187810,75.4
BAS,187811,42.7
BAS,187812,60.7
BAS,187901,22.9
BAS,187902,55.1
BAS,187903,30.6
BAS,187904,65.4
BAS,187905,65.8
BAS,187906,93.2
BAS,187907,74.4
BAS,187908,34.4
BAS,187909,120.0
BAS,187910,45.3
BAS,187911,56.4
BAS,187912,19.1
BAS,188001,8.8
BAS,188002,50.9
BAS,188003,16.3
BAS,188004,132.3
BAS,188005,44.4
BAS,188006,129.5
BAS,188007,77.0
BAS,188008,137.2
BAS,188009,87.1
BAS,188010,165.3
BAS,188011,15.8
BAS,188012,36.2
BAS,188101,39.1
BAS,188102,43.5
BAS,188103,29.8
BAS,188104,85.1
BAS,188105,54.4
BAS,188106,63.7
BAS,188107,14.7
BAS,188108,139.7
BAS,188109,174.3
BAS,188110,73.5
BAS,188111,39.3
BAS,188112,35.1
BAS,188201,16.1
BAS,188202,16.0
BAS,188203,24.5
BAS,188204,50.5
BAS,188205,36.9
BAS,188206,116.9
BAS,188207,99.6
BAS,188208,60.7
BAS,188209,177.1
BAS,188210,65.5
BAS,188211,124.3
BAS,188212,52.9
BAS,188301,20.6
BAS,188302,23.8
BAS,188303,12.3
BAS,188304,35.1
BAS,188305,76.9
BAS,188306,89.4
BAS,188307,102.5
BAS,188308,33.8
BAS,188309,79.5
BAS,188310,38.4
BAS,188311,60.3
BAS,188312,21.9
BAS,188401,21.6
BAS,188402,35.7
BAS,188403,4.3
BAS,188404,40.7
BAS,188405,49.1
BAS,188406,52.6
BAS,188407,59.6
BAS,188408,56.5
BAS,188409,91.7
BAS,188410,15.5
BAS,188411,14.9
BAS,188412,50.3
BAS,188501,4.2
BAS,188502,27.1
BAS,188503,57.1
BAS,188504,15.2
BAS,188505,50.5
BAS,188506,25.5
BAS,188507,33.8
BAS,188508,46.6
BAS,188509,112.3
BAS,188510,101.6
BAS,188511,28.2
BAS,188512,49.5
BAS,188601,40.7
BAS,188602,12.1
BAS,188603,36.5
BAS,188604,24.8
BAS,188605,75.2
BAS,188606,142.6
BAS,188607,65.0
BAS,188608,55.4
BAS,188609,43.6
BAS,188610,75.9
BAS,188611,74.5
BAS,188612,97.3
BAS,188701,4.6
BAS,188702,3.0
BAS,188703,55.2
BAS,188704,17.8
BAS,188705,86.7
BAS,188706,30.2
BAS,188707,66.8
BAS,188708,87.3
BAS,188709,60.5
BAS,188710,31.5
BAS,188711,42.1
BAS,188712,45.3
BAS,188801,6.9
BAS,188802,28.6
BAS,188803,87.0
BAS,188804,72.3
BAS,188805,21.8
BAS,188806,121.6
BAS,188807,57.6
BAS,188808,66.3
BAS,188809,72.7
BAS,188810,83.4
BAS,188811,43.1
BAS,188812,13.7
BAS,188901,10.1
BAS,188902,68.5
BAS,188903,43.5
BAS,188904,19.3
BAS,188905,73.9
BAS,188906,155.7
BAS,188907,67.0
BAS,188908,66.2
BAS,188909,45.6
BAS,188910,141.9
BAS,188911,37.8
BAS,188912,18.0
BAS,189001,49.9
BAS,189002,3.5
BAS,189003,8.0
BAS,189004,45.5
BAS,189005,91.1
BAS,189006,66.4
BAS,189007,72.7
BAS,189008,175.2
BAS,189009,18.2
BAS,189010,68.9
BAS,189011,45.8
BAS,189012,12.3
BAS,189101,18.0
BAS,189102,5.3
BAS,189103,71.5
BAS,189104,39.1
BAS,189105,101.5
BAS,189106,160.0
BAS,189107,117.6
BAS,189108,66.5
BAS,189109,41.2
BAS,189110,88.0
BAS,189111,103.1
BAS,189112,54.2
BAS,189201,46.0
BAS,189202,37.2
BAS,189203,33.0
BAS,189204,47.3
BAS,189205,66.8
BAS,189206,86.8
BAS,189207,116.6
BAS,189208,48.9
BAS,189209,69.1
BAS,189210,110.0
BAS,189211,40.2
BAS,189212,33.8
BAS,189301,47.0
BAS,189302,38.1
BAS,189303,22.1
BAS,189304,0.0
BAS,189305,54.5
BAS,189306,63.7
BAS,189307,86.5
BAS,189308,5.6
BAS,189309,99.1
BAS,189310,65.2
BAS,189311,39.0
BAS,189312,21.3
BAS,189401,26.4
BAS,189402,13.3
BAS,189403,22.2
BAS,189404,58.5
BAS,189405,119.9
BAS,189406,63.5
BAS,189407,143.8
BAS,189408,52.5
BAS,189409,111.6
BAS,189410,126.2
BAS,189411,28.4
BAS,189412,32.8
BAS,189501,59.9
BAS,189502,8.8
BAS,189503,37.4
BAS,189504,58.6
BAS,189505,39.3
BAS,189506,82.4
BAS,189507,47.7
BAS,189508,62.0
BAS,189509,1.8
BAS,189510,65.2
BAS,189511,76.6
BAS,189512,83.1
BAS,189601,11.2
BAS,189602,6.3
BAS,189603,53.8
BAS,189604,62.8
BAS,189605,45.7
BAS,189606,96.7
BAS,189607,90.8
BAS,189608,113.8
BAS,189609,141.5
BAS,189610,174.0
BAS,189611,39.7
BAS,189612,51.7
BAS,189701,23.8
BAS,189702,70.3
BAS,189703,65.4
BAS,189704,96.3
BAS,189705,18.7
BAS,189706,70.4
BAS,189707,63.1
BAS,189708,167.2
BAS,189709,103.9
BAS,189710,5.0
BAS,189711,10.6
BAS,189712,36.4
BAS,189801,14.8
BAS,189802,78.7
BAS,189803,39.0
BAS,189804,72.9
BAS,189805,89.1
BAS,189806,96.8
BAS,189807,41.5
BAS,189808,48.1
BAS,189809,14.0
BAS,189810,103.9
BAS,189811,86.1
BAS,189812,29.9
BAS,189901,60.3
BAS,189902,11.9
BAS,189903,26.9
BAS,189904,154.3
BAS,189905,46.1
BAS,189906,59.5
BAS,189907,89.6
BAS,189908,27.9
BAS,189909,70.8
BAS,189910,53.5
BAS,189911,13.3
BAS,189912,85.8
BAS,190001,102.3
BAS,190002,72.5
BAS,190003,30.5
BAS,190004,26.1
BAS,190005,52.7
BAS,190006,57.0
BAS,190007,138.5
BAS,190008,135.1
BAS,190009,62.1
BAS,190010,47.5
BAS,190011,58.5
BAS,190012,30.2
BAS,190101,41.4
BAS,190102,34.6
BAS,190103,58.6
BAS,190104,126.5
BAS,190105,23.5
BAS,190106,149.2
BAS,190107,69.6
BAS,190108,96.5
BAS,190109,121.1
BAS,190110,54.4
BAS,190111,34.1
BAS,190112,56.9
BAS,190201,25.6
BAS,190202,75.5
BAS,190203,50.9
BAS,190204,48.3
BAS,190205,64.1
BAS,190206,36.8
BAS,190207,155.6
BAS,190208,92.0
BAS,190209,52.2
BAS,190210,84.8
BAS,190211,33.8
BAS,190212,76.3
BAS,190301,41.1
BAS,190302,18.9
BAS,190303,30.6
BAS,190304,50.8
