Eidgenössisches Departement des Innern EDI
Bundesamt für Meteorologie und Klimatologie
MeteoSchweiz

Erstellungsdatum: 17.12.2021 / Stand: 01.01.2022

Monatswerte Niederschlagssumme / Millimeter / Normwerte 1991-2020

Station	Stationshöhe [m]	CH Koordinaten	Referenzperiode	Jan	Feb	Mar	Apr	Mai	Jun	Jul	Aug	Sep	Okt	Nov	Dez	Jahr
Aadorf / Tänikon	539	2710518 / 1259824	01.1991-12.2020	74.8	71.0	79.8	85.0	124.7	124.0	124.1	126.0	90.5	88.9	83.2	96.8	1168.8
Aarberg	444	2588354 / 1211894	01.1991-12.2020	74.3	65.4	69.0	73.5	97.7	94.5	102.3	102.5	80.1	90.4	83.2	97.5	1030.4
Acquarossa / Comprovasco	575	2714985 / 1146450	01.1991-12.2020	57.4	44.2	58.9	103.8	129.5	130.1	124.7	161.0	127.4	135.7	141.0	69.6	1283.3
Adelboden	1321	2609371 / 1148939	01.1991-12.2020	87.7	75.6	81.4	84.9	134.7	140.0	165.5	152.1	100.3	88.4	86.8	105.2	1302.6
Affeltrangen	541	2718739 / 1266351	01.1991-12.2020	59.0	57.5	65.7	70.4	117.7	116.8	113.7	121.3	85.4	77.2	74.0	79.0	1037.7
Affoltern i. E.	755	2622940 / 1212500	01.1991-12.2020	69.7	71.0	78.9	97.9	137.5	127.2	131.8	135.0	96.1	97.5	88.6	91.8	1223.0
Aigle	381	2560403 / 1130713	01.1991-12.2020	67.6	57.7	62.6	65.1	94.2	96.4	118.0	110.4	80.2	77.3	74.9	80.0	984.4
Airolo	1139	2688910 / 1153417	01.1991-12.2020	107.0	81.9	99.2	151.4	184.0	175.1	133.0	174.8	189.7	217.2	219.4	114.9	1847.6
Allenwinden, TG	865	2713800 / 1249549	01.1991-12.2020	100.3	95.0	109.0	112.7	156.1	170.3	163.5	162.5	128.1	117.0	115.0	128.6	1558.1
Alpthal	1015	2696860 / 1212929	01.1991-12.2020	138.1	134.5	152.6	145.6	211.6	232.9	242.4	226.5	179.4	141.0	145.1	165.1	2114.8
Altdorf	437	2690180 / 1193563	01.1991-12.2020	69.9	59.2	72.2	81.0	117.3	138.1	140.6	153.6	105.3	84.2	81.2	83.4	1186.0
Altmatt	920	2695420 / 1220769	01.1991-12.2020	109.5	107.9	124.1	124.3	188.4	189.2	204.9	199.3	149.2	125.0	124.1	137.3	1783.2
Altstätten, SG	430	2759910 / 1250201	01.1991-12.2020	78.0	72.9	88.5	82.7	124.4	143.8	143.9	144.9	110.5	91.2	88.5	98.2	1267.5
Alvaneu Dorf	1162	2768985 / 1171899	01.1991-12.2020	53.6	40.7	52.2	62.9	82.5	118.4	117.5	137.2	90.9	81.4	78.8	64.8	980.9
Amriswil	420	2741796 / 1268303	01.1991-12.2020	54.5	55.1	62.0	70.4	112.4	119.4	121.3	127.2	89.9	76.7	70.1	77.8	1036.8
Andeer	987	2752692 / 1164037	01.1991-12.2020	42.3	30.3	43.5	61.1	87.6	115.3	114.0	142.3	98.4	91.3	86.4	48.9	961.4
Andelfingen	360	2692617 / 1273392	01.1991-12.2020	61.6	54.7	58.0	67.5	95.9	89.1	97.7	97.8	72.2	73.3	70.2	77.5	915.5
Andermatt	1434	2687444 / 1165043	01.1991-12.2020	99.4	91.2	102.8	108.5	133.9	131.3	112.5	133.7	130.0	125.3	142.2	112.5	1423.3
Appenzell	750	2748012 / 1245039	01.1991-12.2020	84.2	78.2	101.8	106.6	159.5	173.4	181.4	183.7	132.4	105.3	97.2	105.2	1508.9
Arbon	401	2750506 / 1263114	01.1991-12.2020	57.6	57.0	70.2	77.4	121.3	127.2	133.1	137.5	98.3	82.7	75.2	78.5	1116.0
Arisdorf	480	2625310 / 1261860	01.1991-12.2020	58.0	55.9	61.1	75.5	106.9	102.6	108.7	101.3	81.7	83.9	79.2	82.9	997.7
Arosa	1878	2771030 / 1184830	01.1991-12.2020	77.1	64.7	73.3	77.0	97.0	132.3	136.1	157.8	103.8	89.7	90.0	80.3	1179.1
Avenches	457	2569652 / 1191910	01.1991-12.2020	59.7	52.0	60.3	72.5	93.1	92.0	98.8	96.5	79.4	96.6	77.6	79.9	958.4
Avers / Am Bach	1993	2761959 / 1146802	01.1991-12.2020	45.1	37.2	48.6	73.3	105.7	149.3	136.8	160.1	117.3	115.8	101.1	52.7	1143.0
Bad Ragaz	496	2756911 / 1209350	01.1991-12.2020	70.6	56.3	77.7	72.3	99.4	119.0	124.8	145.6	94.5	80.1	79.3	79.3	1098.9
Balsthal	523	2621017 / 1241091	01.1991-12.2020	79.7	70.1	70.2	77.7	105.8	104.9	114.4	111.1	79.9	79.9	82.7	96.8	1073.2
Barmelweid	777	2640058 / 1252430	01.1991-12.2020	91.4	82.8	87.5	94.6	127.7	119.6	121.9	123.6	95.1	95.9	99.9	115.6	1255.6
Basel / Binningen	316	2610908 / 1265611	01.1991-12.2020	47.8	45.2	49.5	63.5	97.6	86.6	88.9	88.3	70.2	74.4	64.9	65.0	841.9
Baulmes	642	2530055 / 1182443	01.1991-12.2020	123.4	103.4	106.6	92.6	109.9	102.3	104.1	106.9	98.4	118.9	122.8	153.4	1342.7
Bauma	667	2710805 / 1247004	01.1991-12.2020	103.0	96.2	108.9	111.4	163.3	176.8	172.1	163.5	131.5	114.9	116.7	131.7	1590.0
Bellelay	923	2579603 / 1234880	01.1991-12.2020	113.0	101.5	102.7	99.3	128.1	115.5	125.8	121.6	101.5	111.3	115.9	139.6	1375.8
Bellinzona	224	2720913 / 1116587	01.1991-12.2020	61.5	53.1	69.8	130.5	163.6	170.7	151.3	195.0	152.7	159.0	162.8	75.8	1545.8
Belp	510	2605082 / 1195000	01.1991-12.2020	67.5	67.1	71.6	80.3	120.1	115.4	124.8	117.1	88.7	85.6	78.8	87.7	1104.7
Benken / Doggen	408	2715387 / 1227539	01.1991-12.2020	81.6	79.0	94.9	102.5	161.4	178.0	191.5	185.9	142.3	106.8	101.6	104.5	1530.0
Bergün / Latsch	1407	2777274 / 1166618	01.1991-12.2020	48.0	40.7	49.4	61.2	82.4	120.9	115.0	136.6	86.7	81.2	80.2	56.1	958.4
Bern / Zollikofen	552	2601934 / 1204409	01.1991-12.2020	60.3	55.5	64.9	78.0	112.4	101.5	108.0	112.3	87.0	86.5	76.9	78.5	1021.8
Bernina / Curtinatsch	2090	2795796 / 1146485	01.1991-12.2020	42.2	32.6	46.9	62.2	95.0	119.0	109.1	118.3	104.0	123.8	112.6	47.2	1012.9
Beromünster	642	2657200 / 1228760	01.1991-12.2020	78.6	72.2	78.8	88.6	128.3	127.1	136.3	132.0	90.2	94.2	82.7	95.3	1204.3
Bex	402	2565805 / 1121511	01.1991-12.2020	72.0	60.7	64.9	69.5	98.3	102.5	123.7	116.0	80.7	78.2	75.6	87.1	1029.2
Beznau	325	2659813 / 1267696	01.1991-12.2020	83.1	71.5	74.3	66.0	86.9	83.0	90.9	81.8	65.5	74.5	83.5	97.8	958.8
Biasca	278	2718535 / 1132792	01.1991-12.2020	67.2	51.6	67.0	117.1	141.0	147.8	136.9	177.4	151.4	165.9	169.5	78.6	1471.4
Binn	1479	2657995 / 1135421	01.1991-12.2020	66.8	51.8	68.3	104.9	129.0	110.6	87.1	96.8	112.2	129.7	140.5	78.1	1175.8
Bischofszell / Sitterdorf	507	2737713 / 1263612	01.1991-12.2020	53.3	53.5	63.1	72.8	111.0	123.2	123.9	119.8	91.7	75.1	67.0	73.2	1027.6
Bisisthal	856	2705983 / 1200132	01.1991-12.2020	151.9	135.0	161.9	145.2	191.2	227.2	246.0	251.5	176.3	147.8	156.6	170.7	2161.3
Bivio	1856	2771282 / 1148119	01.1991-12.2020	56.4	47.1	50.5	73.9	105.9	133.3	119.4	131.5	103.0	108.0	103.0	65.7	1097.7
Bière	683	2515887 / 1153211	01.1991-12.2020	86.2	73.0	73.2	71.6	86.4	94.9	91.3	94.4	83.0	94.8	95.1	114.6	1058.5
Blatten, Lötschental	1538	2629563 / 1141083	01.1991-12.2020	96.8	78.1	77.0	62.1	94.6	90.7	93.2	99.2	68.6	89.4	92.9	121.4	1064.0
Blumenstein	655	2606259 / 1177009	01.1991-12.2020	67.2	66.6	77.9	84.0	136.6	147.4	156.6	140.3	101.9	87.4	79.2	91.8	1236.9
Boltigen	820	2595831 / 1163587	01.1991-12.2020	84.0	73.2	77.0	74.0	113.2	116.4	134.5	124.5	89.5	81.1	82.7	107.0	1157.1
Bosco/Gurin	1486	2680878 / 1130026	01.1991-12.2020	93.0	79.4	107.8	187.3	205.2	183.3	144.3	172.6	199.7	208.9	210.5	98.0	1890.0
Boudevilliers	750	2558094 / 1208130	01.1991-12.2020	99.7	88.8	85.9	75.3	90.7	90.5	91.4	100.7	84.4	100.1	97.0	128.0	1132.5
