date,pv_einspeisung_ch_gwh
2023-01-01,3.4
2023-01-02,2.8
2023-01-03,1.9
2023-01-04,2.6
2023-01-05,1.7
2023-01-06,3.3
2023-01-07,3.8
2023-01-08,1.6
2023-01-09,3.2
2023-01-10,3.8
2023-01-11,2
2023-01-12,2.6
2023-01-13,2.9
2023-01-14,3
2023-01-15,1.5
2023-01-16,2.8
2023-01-17,2
2023-01-18,2.7
2023-01-19,4.5
2023-01-20,4.3
2023-01-21,4.1
2023-01-22,3.8
2023-01-23,3
2023-01-24,4.3
2023-01-25,4.8
2023-01-26,3.8
2023-01-27,3.8
2023-01-28,4.3
2023-01-29,5.8
2023-01-30,5
2023-01-31,5.8
2023-02-01,4.3
2023-02-02,3.6
2023-02-03,5.6
2023-02-04,2.5
2023-02-05,4
2023-02-06,4.7
2023-02-07,7.4
2023-02-08,7.5
2023-02-09,7.3
2023-02-10,7.8
2023-02-11,7.4
2023-02-12,7.6
2023-02-13,7.8
2023-02-14,8
2023-02-15,8.2
2023-02-16,8.2
2023-02-17,3.4
2023-02-18,7.1
2023-02-19,5.8
2023-02-20,8.6
2023-02-21,8.6
2023-02-22,6.7
2023-02-23,7.5
2023-02-24,7.8
2023-02-25,5.4
2023-02-26,8.4
2023-02-27,8.1
2023-02-28,9.6
2023-03-01,8.7
2023-03-02,9.9
2023-03-03,10.3
2023-03-04,9.8
2023-03-05,10.8
2023-03-06,9.6
2023-03-07,9
2023-03-08,3.6
2023-03-09,10.4
2023-03-10,5
2023-03-11,3.4
2023-03-12,7.6
2023-03-13,11
2023-03-14,5.5
2023-03-15,12.8
2023-03-16,12.4
2023-03-17,12.5
2023-03-18,12.6
2023-03-19,8.5
2023-03-20,10.2
2023-03-21,10.4
2023-03-22,13.7
2023-03-23,7.6
2023-03-24,4.6
2023-03-25,10
2023-03-26,7.1
2023-03-27,9.3
2023-03-28,14.3
2023-03-29,8.8
2023-03-30,8.8
2023-03-31,9.4
2023-04-01,9.9
2023-04-02,9.6
2023-04-03,11.8
2023-04-04,17
2023-04-05,16.9
2023-04-06,14.1
2023-04-07,9.4
2023-04-08,11.9
2023-04-09,16.7
2023-04-10,13.7
2023-04-11,5.7
2023-04-12,7.1
2023-04-13,10.3
2023-04-14,15.7
2023-04-15,6.5
2023-04-16,5.6
2023-04-17,13.8
2023-04-18,15.3
2023-04-19,14.6
2023-04-20,8.1
2023-04-21,13.4
2023-04-22,13.8
2023-04-23,13.2
2023-04-24,16
2023-04-25,12.7
2023-04-26,16.4
2023-04-27,16
2023-04-28,8.8
2023-04-29,13
2023-04-30,9.5
2023-05-01,6.7
2023-05-02,15.6
2023-05-03,20
2023-05-04,19.1
2023-05-05,15.6
2023-05-06,16.5
2023-05-07,12.1
2023-05-08,13
2023-05-09,11.2
2023-05-10,11.8
2023-05-11,10.5
2023-05-12,13.2
2023-05-13,13.4
2023-05-14,11.9
2023-05-15,16.1
2023-05-16,7.5
2023-05-17,11.2
2023-05-18,13.2
2023-05-19,11
2023-05-20,14.3
2023-05-21,16.5
2023-05-22,18.8
2023-05-23,16
2023-05-24,8.7
2023-05-25,18.3
2023-05-26,19.3
2023-05-27,20.1
2023-05-28,20
2023-05-29,21.4
2023-05-30,20.6
2023-05-31,20.6
2023-06-01,20.2
2023-06-02,20.6
2023-06-03,19.5
2023-06-04,15.9
2023-06-05,20.1
2023-06-06,20.9
2023-06-07,20.6
2023-06-08,20.4
2023-06-09,19.5
2023-06-10,17.8
2023-06-11,20.3
2023-06-12,21.6
2023-06-13,20.5
2023-06-14,21.9
2023-06-15,21.3
2023-06-16,21
2023-06-17,22
2023-06-18,19.4
2023-06-19,18.3
2023-06-20,18
2023-06-21,17.6
2023-06-22,16.4
2023-06-23,19
2023-06-24,22.9
2023-06-25,21.9
2023-06-26,20.8
2023-06-27,18.9
2023-06-28,20.5
2023-06-29,17
2023-06-30,8.4
2023-07-01,14.5
2023-07-02,15.5
2023-07-03,17.5
2023-07-04,19.6
2023-07-05,19.2
2023-07-06,19.4
2023-07-07,21.3
2023-07-08,17.1
2023-07-09,19.9
2023-07-10,18.7
2023-07-11,19.4
2023-07-12,11.6
2023-07-13,16.1
2023-07-14,20.8
2023-07-15,20.3
2023-07-16,16.9
2023-07-17,18.1
2023-07-18,18.4
2023-07-19,19.2
2023-07-20,20.2
2023-07-21,16.3
2023-07-22,20.1
2023-07-23,19.5
2023-07-24,11.4
2023-07-25,17.7
2023-07-26,17.6
2023-07-27,19.8
2023-07-28,15.8
2023-07-29,12.2
2023-07-30,19.7
2023-07-31,19.7
2023-08-01,11
2023-08-02,17
2023-08-03,19.4
2023-08-04,11
2023-08-05,15.2
2023-08-06,15.2
2023-08-07,18.5
2023-08-08,18.3
2023-08-09,15.2
2023-08-10,19.8
2023-08-11,19
2023-08-12,16.1
2023-08-13,16.2
2023-08-14,16.5
2023-08-15,17.1
2023-08-16,18.1
2023-08-17,15.7
2023-08-18,18.2
2023-08-19,18
2023-08-20,17.2
2023-08-21,16.9
2023-08-22,17.1
2023-08-23,17.1
2023-08-24,16
2023-08-25,15.2
2023-08-26,7.7
2023-08-27,4.4
2023-08-28,2.5
2023-08-29,7.3
2023-08-30,15.2
2023-08-31,13
2023-09-01,16.4
2023-09-02,16.6
2023-09-03,15.4
2023-09-04,16.7
2023-09-05,15.9
2023-09-06,16.5
2023-09-07,15.9
2023-09-08,15.3
2023-09-09,15.5
2023-09-10,15.1
2023-09-11,15.5
2023-09-12,13.4
2023-09-13,6.4
2023-09-14,12.4
2023-09-15,12.3
2023-09-16,12.6
2023-09-17,12.8
2023-09-18,5.8
2023-09-19,13
2023-09-20,13.2
2023-09-21,10.2
2023-09-22,9.6
2023-09-23,10
2023-09-24,14.5
