Station/Location;Date;tre200d0;tre200dv;rre150d0;sre000d0;gre000d0
TAE;20240115;-0.2;-0.6;0.0;0;18
TAE;20240116;-2.2;-2.6;5.9;308;64
TAE;20240117;4.2;3.8;19.7;0;23
TAE;20240118;5.4;5.0;15.9;9;25
TAE;20240119;-6.0;-6.4;0.0;232;67
TAE;20240120;-7.8;-8.2;0.0;280;74
TAE;20240121;-6.8;-7.1;0.0;155;67
TAE;20240122;3.9;3.6;17.0;44;44
TAE;20240123;6.6;6.3;1.0;47;45
TAE;20240124;11.2;10.9;13.5;0;22
TAE;20240125;9.0;8.7;10.6;0;21
TAE;20240126;8.6;8.3;3.4;16;32
TAE;20240127;3.4;3.1;0.0;427;90
TAE;20240128;-0.3;-0.6;0.0;0;38
TAE;20240129;-0.1;-0.4;0.0;400;90
TAE;20240130;2.0;1.7;0.0;278;82
TAE;20240131;3.8;3.5;0.0;265;76
TAE;20240201;7.2;6.9;6.2;0;17
TAE;20240202;6.8;6.5;0.0;3;55
TAE;20240203;7.0;6.7;0.0;490;102
TAE;20240204;5.6;5.3;0.0;231;79
TAE;20240205;5.3;5.0;0.0;464;103
TAE;20240206;5.5;5.2;0.0;442;99
TAE;20240207;7.1;6.7;8.0;85;64
TAE;20240208;8.3;7.9;3.4;6;56
TAE;20240209;8.4;8.0;0.0;0;23
TAE;20240210;7.6;7.1;3.4;7;48
TAE;20240211;6.1;5.6;0.3;9;55
TAE;20240212;6.4;5.8;0.0;1;58
TAE;20240213;5.4;4.7;0.0;427;111
TAE;20240214;8.6;7.9;0.0;80;88
TAE;20240215;7.2;6.4;0.0;384;106
TAE;20240216;10.5;9.6;0.0;117;94
TAE;20240217;9.4;8.4;2.7;0;19
TAE;20240218;7.8;6.7;7.6;2;69
TAE;20240219;8.3;7.1;5.0;81;75
TAE;20240220;5.9;4.6;0.0;113;87
TAE;20240221;7.4;6.0;5.5;293;115
TAE;20240222;8.3;6.8;37.2;0;29
TAE;20240223;4.2;2.6;0.0;39;73
TAE;20240224;4.7;3.0;0.0;278;118
TAE;20240225;3.8;1.9;0.0;496;146
TAE;20240226;6.0;4.0;0.4;62;70
TAE;20240227;5.9;3.8;0.1;1;55
TAE;20240228;6.2;3.9;0.0;0;35
TAE;20240229;5.4;3.0;0.5;141;94
TAE;20240301;5.7;2.9;2.9;0;48
TAE;20240302;5.9;3.0;0.0;417;143
TAE;20240303;8.4;5.3;0.0;229;108
TAE;20240304;6.0;2.8;0.0;57;58
TAE;20240305;6.0;2.6;4.8;0;44
TAE;20240306;2.5;-1.0;12.0;0;34
TAE;20240307;3.8;0.2;0.0;0;40
TAE;20240308;2.7;-1.1;0.0;124;72
TAE;20240309;6.3;2.4;0.0;315;151
TAE;20240310;6.1;2.0;4.6;23;58
TAE;20240311;6.6;2.4;0.0;320;137
TAE;20240312;6.3;2.0;23.6;6;61
TAE;20240313;6.7;2.2;3.5;1;78
TAE;20240314;7.2;2.6;-;342;155
BAS;20240115;0.6;-1.6;0.0;119;55
BAS;20240116;-1.7;-3.9;6.0;372;67
BAS;20240117;5.0;2.8;7.8;0;19
BAS;20240118;5.5;3.3;8.8;10;18
BAS;20240119;-1.6;-3.8;0.0;74;52
BAS;20240120;-2.9;-5.1;0.0;432;83
BAS;20240121;-0.8;-3.0;0.0;253;69
BAS;20240122;3.7;1.5;19.8;0;16
BAS;20240123;7.9;5.7;1.5;143;58
BAS;20240124;11.4;9.2;4.7;0;27
BAS;20240125;10.3;8.1;1.6;0;31
BAS;20240126;9.5;7.3;0.7;3;20
BAS;20240127;4.0;1.8;0.0;288;78
BAS;20240128;4.9;2.7;0.0;477;95
BAS;20240129;4.2;2.0;0.0;416;93
BAS;20240130;4.9;2.7;0.0;87;67
BAS;20240131;6.7;4.4;0.0;310;83
BAS;20240201;8.7;6.4;1.0;0;16
BAS;20240202;7.2;4.9;0.0;70;64
BAS;20240203;4.8;2.5;0.0;469;105
BAS;20240204;6.2;3.8;0.0;337;99
BAS;20240205;5.7;3.3;0.0;325;91
BAS;20240206;5.8;3.4;0.0;47;54
BAS;20240207;9.3;6.8;0.4;1;38
BAS;20240208;11.1;8.6;1.1;0;45
BAS;20240209;10.9;8.3;3.7;0;16
BAS;20240210;8.9;6.2;1.7;0;31
BAS;20240211;8.0;5.3;0.6;89;67
BAS;20240212;7.8;5.0;0.0;0;53
BAS;20240213;6.7;3.8;0.0;502;123
BAS;20240214;8.7;5.8;0.0;9;63
BAS;20240215;9.9;6.9;0.0;71;79
BAS;20240216;11.0;7.9;1.2;0;47
BAS;20240217;10.5;7.3;0.7;0;34
BAS;20240218;9.2;5.9;5.1;0;71
BAS;20240219;10.2;6.8;0.6;49;74
BAS;20240220;8.0;4.5;0.0;203;96
BAS;20240221;7.9;4.3;3.4;9;88
BAS;20240222;10.9;7.2;8.5;0;25
BAS;20240223;6.8;2.9;0.3;289;109
BAS;20240224;4.9;0.9;1.7;161;72
BAS;20240225;6.9;2.8;0.6;408;144
BAS;20240226;8.4;4.1;0.0;131;91
BAS;20240227;7.6;3.2;0.1;0;51
BAS;20240228;7.1;2.5;0.0;37;70
BAS;20240229;7.3;2.6;0.5;161;88
BAS;20240301;7.0;2.0;0.0;0;45
