Station/Location;Date;tre200b0;tpr200dx;tpr200dn;rre150b0;spr100h0
;;133;133;133;133;133
TAE;2024031500;6.4;15.0;6.4;0.0;0
TAE;2024031501;7.3;-;-;0.0;0
TAE;2024031502;7.1;-;-;0.0;0
TAE;2024031503;7.2;-;-;0.1;0
TAE;2024031504;7.5;-;-;0.0;0
TAE;2024031505;8.0;-;-;0.0;0
TAE;2024031506;8.7;-;-;0.0;0
TAE;2024031507;9.6;-;-;0.0;2
TAE;2024031508;11.0;-;-;0.0;7
TAE;2024031509;12.3;-;-;0.0;9
TAE;2024031510;13.5;-;-;0.0;10
TAE;2024031511;14.4;-;-;0.0;12
TAE;2024031512;14.9;-;-;0.0;12
TAE;2024031513;15.0;-;-;0.0;7
TAE;2024031514;14.7;-;-;0.0;3
TAE;2024031515;14.0;-;-;0.0;4
TAE;2024031516;13.2;-;-;0.0;3
TAE;2024031517;12.2;-;-;0.0;1
TAE;2024031518;11.3;-;-;0.0;0
TAE;2024031519;10.5;-;-;0.0;0
TAE;2024031520;9.8;-;-;0.0;0
TAE;2024031521;9.3;-;-;0.0;0
TAE;2024031522;8.8;-;-;0.2;0
TAE;2024031523;8.5;-;-;0.0;0
TAE;2024031600;8.1;13.2;5.6;0.2;0
TAE;2024031601;7.8;-;-;0.0;0
TAE;2024031602;7.6;-;-;0.2;0
TAE;2024031603;7.5;-;-;0.2;0
TAE;2024031604;7.6;-;-;0.0;0
TAE;2024031605;7.9;-;-;0.0;0
TAE;2024031606;8.4;-;-;0.0;0
TAE;2024031607;9.1;-;-;0.0;4
TAE;2024031608;9.9;-;-;0.0;5
TAE;2024031609;10.8;-;-;0.0;6
TAE;2024031610;11.6;-;-;0.0;5
TAE;2024031611;12.4;-;-;0.0;5
TAE;2024031612;12.9;-;-;0.0;8
TAE;2024031613;13.2;-;-;0.0;13
TAE;2024031614;13.1;-;-;0.0;21
TAE;2024031615;12.5;-;-;0.0;28
TAE;2024031616;11.7;-;-;0.0;32
TAE;2024031617;10.7;-;-;0.0;40
TAE;2024031618;9.6;-;-;0.0;6
TAE;2024031619;8.5;-;-;0.0;0
TAE;2024031620;7.6;-;-;0.0;0
TAE;2024031621;6.8;-;-;0.0;0
TAE;2024031622;6.2;-;-;0.0;0
TAE;2024031623;5.6;-;-;0.0;0
TAE;2024031700;4.9;13.1;2.9;0.0;0
TAE;2024031701;4.3;-;-;0.0;0
TAE;2024031702;3.6;-;-;0.0;0
TAE;2024031703;3.1;-;-;0.0;0
TAE;2024031704;2.9;-;-;0.0;0
TAE;2024031705;3.2;-;-;0.0;0
TAE;2024031706;4.1;-;-;0.0;0
TAE;2024031707;5.5;-;-;0.0;11
TAE;2024031708;7.2;-;-;0.0;11
TAE;2024031709;8.9;-;-;0.0;11
TAE;2024031710;10.5;-;-;0.0;10
TAE;2024031711;11.7;-;-;0.0;9
