Station/Location;Date;rre150m0
BAS;202312;52.8
BAS;202401;75.0
BAS;202402;31.2
BER;202312;154.8
BER;202401;79.2
BER;202402;40.9
CHD;202312;200.3
CHD;202401;114.8
CHD;202402;54.6
CHM;202312;147.7
CHM;202401;109.0
CHM;202402;70.4
DAV;202312;166.1
DAV;202401;66.5
DAV;202402;48.9
ENG;202312;214.1
ENG;202401;111.9
ENG;202402;64.2
GVE;202312;120.9
GVE;202401;103.3
GVE;202402;45.5
LUG;202312;81.9
LUG;202401;47.2
LUG;202402;193.1
SAE;202312;533.7
SAE;202401;339.2
SAE;202402;210.9
SIA;202312;119.5
SIA;202401;39.1
SIA;202402;88.7
SIO;202312;118.8
SIO;202401;52.4
SIO;202402;42.3
SMA;202312;134.9
SMA;202401;106.4
SMA;202402;63.7
