xtf_id,DamName,DamHeight,CrestLevel,CrestLength,DamType,ConstructionYear,facilityR2,geometry
131994474.0,Aarberg,15.0,452.5,70.0,dt1,1963.0,131994470.0,POINT (2587362.131 1209652.325)
130676841.0,Airolo,17.0,1137.16,83.0,dt5,1968.0,130675951.0,POINT (2689680.296 1153439.621)
131895810.0,Albbruck-Dogern,15.0,312.24,145.0,dt1,1933.0,131895806.0,POINT (2652200.949 1270800.274)
130676842.0,Albigna,115.0,2165.0,759.0,dt5,1959.0,130675954.0,POINT (2769991.056 1134169.38)
130676917.0,Alp Dado,24.0,2060.0,210.0,dt7,1995.0,130676152.0,POINT (2735450.693 1188024.664)
131269304.0,Ancien Jougnenaz,16.0,778.0,26.6,dt5,1937.0,130676170.0,POINT (2520179.648 1175400.695)
130676844.0,Arnensee (Arnon),17.0,1545.0,140.0,dt7,1942.0,130675960.0,POINT (2583199.527 1138220.304)
130676848.0,Arniboden Nord,2.0,1370.87,60.0,dt7,1910.0,130675963.0,POINT (2691980.513 1180949.575)
130676845.0,Arniboden Ost,12.0,1370.77,67.0,dt7,1910.0,130675963.0,POINT (2692150.51 1180839.574)
130676846.0,Arniboden Süd,15.0,1370.77,74.0,dt7,1910.0,130675963.0,POINT (2691960.506 1180619.577)
130676847.0,Arniboden West,4.0,1370.71,80.0,dt7,1910.0,130675963.0,POINT (2691890.509 1180759.577)
130792097.0,Augst-Wyhlen,22.0,272.14,212.8,dt1,1912.0,130676563.0,POINT (2620251.63 1265223.499)
130676849.0,Bannalp,32.0,1589.1,185.0,dt7,1937.0,130675966.0,POINT (2675250.691 1191399.744)
132024967.0,Bannwil,15.0,419.3,80.0,dt1,1970.0,132024960.0,POINT (2622244.457 1230969.235)
130676850.0,Barcuns,36.8,1368.0,153.0,dt5,1947.0,130675969.0,POINT (2711470.46 1177439.652)
130676851.0,Bärenburg,64.0,1083.7,110.0,dt5,1960.0,130675972.0,POINT (2751940.76 1161789.498)
130676853.0,Bettmersee,9.15,2010.8,135.0,dt7,1949.0,130675978.0,POINT (2647939.814 1138129.661)
132025243.0,Beznau,10.0,326.5,116.5,dt1,1986.0,132025238.0,POINT (2660103.009 1267770.135)
131895822.0,Birsfelden,15.0,255.0,157.0,dt1,1954.0,131895819.0,POINT (2614100.575 1267800.607)
130676854.0,Bortelsee,20.0,2465.5,310.0,dt3,1989.0,130675981.0,POINT (2651349.751 1126549.567)
130676855.0,Bremgarten-Zufikon,19.0,381.3,135.0,dt1,1975.0,130675984.0,POINT (2668560.857 1244019.901)
130676856.0,Brigels,19.0,1258.2,120.0,dt7,1960.0,130675987.0,POINT (2724910.676 1181429.567)
130676857.0,Buchholz,16.0,613.85,43.0,dt5,1892.0,130675990.0,POINT (2734410.705 1251649.709)
130676858.0,Burvagn,20.15,1119.15,71.0,dt5,1949.0,130675993.0,POINT (2764340.88 1165779.63)
130676859.0,Carassina,38.6,1708.6,115.0,dt8,1963.0,130675996.0,POINT (2717230.615 1156169.558)
130676860.0,Carmena,39.0,639.0,99.0,dt8,1968.0,130675999.0,POINT (2725780.493 1114129.079)
130676861.0,Cavagnoli,111.0,2311.0,317.0,dt8,1968.0,130676002.0,POINT (2682120.245 1145299.522)
130685171.0,Chancy-Pougny,18.0,348.5,78.0,dt1,1924.0,130683704.0,POINT (2487028.22 1113185.121)
130676862.0,Chapfensee Nord,20.0,1031.5,124.0,dt5,1948.0,130676005.0,POINT (2747710.682 1212629.724)
